,n_warmup,n_loop,device,dtype,n_head,batch_size,seq_len,n_serial,serial_latency,batch_latency
0,10,100,cuda,fp32,16,1,8,128,1.7956304550170898,0.060312747955322266
1,10,100,cuda,fp32,16,1,16,256,3.6359500885009766,0.06018638610839844
2,10,100,cuda,fp32,16,1,32,512,7.176330089569092,0.060439109802246094
3,10,100,cuda,fp32,16,1,64,1024,14.383466243743896,0.0606846809387207
4,10,100,cuda,fp32,16,1,128,2048,28.724517822265625,0.06001472473144531
5,10,100,cuda,fp32,16,1,256,4096,57.87039518356323,0.06030082702636719
6,10,100,cuda,fp32,16,1,512,8192,114.70629692077637,0.060286521911621094
7,10,100,cuda,fp32,16,1,1024,16384,229.22701358795166,0.0584864616394043
8,10,100,cuda,fp32,16,1,2048,32768,452.48502492904663,0.058705806732177734
9,10,100,cuda,fp32,16,1,4096,65536,903.929979801178,0.058443546295166016
10,10,100,cuda,fp32,16,1,8192,131072,1809.0133213996887,0.07036209106445312
